Base Noun,Frequency (based on tweets),Polarity Positive(%),Polarity Negative (%),User_ID
place,16,18.75,81.25,56838981
place,16,18.75,81.25,27944341
place,16,18.75,81.25,2421964502
place,16,18.75,81.25,863113304
place,16,18.75,81.25,2502484436
place,16,18.75,81.25,193192630
place,16,18.75,81.25,2447898228
place,16,18.75,81.25,34955929
place,16,18.75,81.25,33831682
place,16,18.75,81.25,92643660
place,16,18.75,81.25,33831682
place,16,18.75,81.25,33831682
place,16,18.75,81.25,33831682
place,16,18.75,81.25,553480874
place,16,18.75,81.25,553480874
nudity,1,0.0,100.0,16579411
gruber,4,25.0,75.0,56838981
gruber,4,25.0,75.0,56838981
gruber,4,25.0,75.0,56838981
gruber,4,25.0,75.0,28387976
celeberties,1,0.0,100.0,2869158160
ahole,1,0.0,100.0,16579411
warren,3,0.0,100.0,553480874
warren,3,0.0,100.0,616303472
warren,3,0.0,100.0,33831682
racist,18,0.0,100.0,56838981
racist,18,0.0,100.0,56838981
racist,18,0.0,100.0,56838981
racist,18,0.0,100.0,56838981
racist,18,0.0,100.0,92643660
racist,18,0.0,100.0,553480874
racist,18,0.0,100.0,553480874
racist,18,0.0,100.0,2869158160
racist,18,0.0,100.0,2608084976
racist,18,0.0,100.0,2608084976
racist,18,0.0,100.0,753498337
racist,18,0.0,100.0,16579411
racist,18,0.0,100.0,1430129144
racist,18,0.0,100.0,20415005
racist,18,0.0,100.0,193192630
racist,18,0.0,100.0,33831682
racist,18,0.0,100.0,33831682
racist,18,0.0,100.0,56838981
superbowl,1,100.0,0.0,16570951
abortion,4,0.0,100.0,107801651
abortion,4,0.0,100.0,107801651
abortion,4,0.0,100.0,193192630
abortion,4,0.0,100.0,56838981
commentators,1,0.0,100.0,16579411
greggutfeld,1,0.0,100.0,2869158160
luxury,1,100.0,0.0,56838981
crop,1,0.0,100.0,33831682
elections,4,25.0,75.0,553480874
elections,4,25.0,75.0,28387976
elections,4,25.0,75.0,1616176478
elections,4,25.0,75.0,56838981
toilet,3,0.0,100.0,107801651
toilet,3,0.0,100.0,2447898228
toilet,3,0.0,100.0,553480874
pictures,1,0.0,100.0,92643660
theatre,1,0.0,100.0,553480874
read,1,100.0,0.0,56838981
grinder,1,0.0,100.0,457123526
repeat,1,0.0,100.0,20415005
hypocrite,9,0.0,100.0,553480874
hypocrite,9,0.0,100.0,565501978
hypocrite,9,0.0,100.0,57461026
hypocrite,9,0.0,100.0,33831682
hypocrite,9,0.0,100.0,33831682
hypocrite,9,0.0,100.0,33831682
hypocrite,9,0.0,100.0,33831682
hypocrite,9,0.0,100.0,33831682
hypocrite,9,0.0,100.0,33831682
rape,2,0.0,100.0,20415005
rape,2,0.0,100.0,3311276608
repeal,1,0.0,100.0,107801651
customer,1,100.0,0.0,553480874
collusion,1,0.0,100.0,56838981
acts,3,0.0,100.0,56838981
acts,3,0.0,100.0,16579411
acts,3,0.0,100.0,30980826
reaction,1,0.0,100.0,193192630
shows,4,0.0,100.0,16579411
shows,4,0.0,100.0,56838981
